Experiment	Well	Rate	  R	Max OD	 lagTime
Efm_OD_42_new	EFM9s_14	0.01649	0.99813	1.195	99.0
Efm_OD_42_new	EFM9s_15	0.01683	0.99729	1.118	92.0
Efm_OD_42_new	EFM9s_16	0.01703	0.99740	1.123	90.8
Efm_OD_42_new	EFM9s_17	0.01708	0.99843	1.156	97.5
Efm_OD_42_new	EFM9s_18	0.01729	0.99855	1.173	96.3
Efm_OD_42_new	EFM9s_19	0.01717	0.99839	1.181	95.8
Efm_OD_42_new	EFM9s_20	0.01690	0.99813	1.159	95.2
Efm_OD_42_new	EFM10s_1	0.01098	0.99834	0.725	152.4
Efm_OD_42_new	EFM10s_2	0.01203	0.99931	0.758	156.4
Efm_OD_42_new	EFM10s_3	0.01150	0.99861	0.814	151.1
Efm_OD_42_new	EFM10s_4	0.01176	0.99848	0.856	149.6
Efm_OD_42_new	EFM10s_5	0.01197	0.99880	0.801	147.1
Efm_OD_42_new	EFM10s_6	0.01217	0.99857	0.841	143.8
Efm_OD_42_new	EFM10s_7	0.01206	0.99815	0.822	141.8
Efm_OD_42_new	EFM10s_8	0.01175	0.99824	0.840	139.5
Efm_OD_42_new	EFM10s_9	0.01143	0.99784	0.801	139.0
Efm_OD_42_new	EFM10s_10	0.01092	0.99839	0.762	134.1
Efm_OD_42_new	EFM10s_11	0.01079	0.99832	0.738	139.5
Efm_OD_42_new	EFM10s_12	0.01119	0.99856	0.780	142.1
Efm_OD_42_new	EFM10s_13	0.01144	0.99873	0.801	145.3
Efm_OD_42_new	EFM10s_14	0.01161	0.99881	0.824	142.6
Efm_OD_42_new	EFM10s_15	0.01216	0.99925	0.795	153.6
Efm_OD_42_new	EFM10s_16	0.01237	0.99948	0.813	153.5
Efm_OD_42_new	EFM10s_17	0.01195	0.99870	0.812	140.4
Efm_OD_42_new	EFM10s_18	0.01181	0.99879	0.830	142.6
Efm_OD_42_new	EFM10s_19	0.01098	0.99820	0.749	134.8
Efm_OD_42_new	EFM10s_20	0.01111	0.99857	0.763	137.3
Efm_OD_42_new	EFM14s_1	0.01714	0.99916	0.995	105.6
Efm_OD_42_new	EFM14s_2	0.01747	0.99919	0.999	106.8
Efm_OD_42_new	EFM14s_3	0.01634	0.99824	1.040	109.9
Efm_OD_42_new	EFM14s_4	0.01682	0.99833	1.041	109.8
Efm_OD_42_new	EFM14s_5	0.01772	0.99924	1.036	105.1
Efm_OD_42_new	EFM14s_6	0.01721	0.99801	1.054	101.4
Efm_OD_42_new	EFM14s_7	0.01726	0.99833	1.049	96.7
Efm_OD_42_new	EFM14s_8	0.01725	0.99839	1.049	96.5
Efm_OD_42_new	EFM14s_9	0.01712	0.99928	0.951	105.5
Efm_OD_42_new	EFM14s_10	0.03872	0.69926	0.960	252.5
Efm_OD_42_new	EFM14s_11	0.01755	0.99925	0.998	103.8
Efm_OD_42_new	EFM14s_12	0.01685	0.99847	0.974	100.0
Efm_OD_42_new	EFM14s_13	0.01747	0.99916	1.018	106.3
Efm_OD_42_new	EFM14s_14	0.01757	0.99913	1.038	107.4
Efm_OD_42_new	EFM14s_15	0.01777	0.99934	1.036	105.1
Efm_OD_42_new	EFM14s_16	0.01796	0.99935	1.040	104.2
Efm_OD_42_new	EFM14s_17	0.01728	0.99835	1.044	93.9
Efm_OD_42_new	EFM14s_18	0.01725	0.99807	1.042	93.2
Efm_OD_42_new	EFM14s_19	0.01721	0.99851	1.027	97.5
Efm_OD_42_new	EFM14s_20	0.01670	0.99850	0.972	95.5
Efm_OD_42_new	EFM4s_1	0.01482	0.99869	0.884	118.5
Efm_OD_42_new	EFM4s_2	0.01516	0.99846	0.929	120.7
Efm_OD_42_new	EFM4s_3	0.01499	0.99824	0.922	134.2
Efm_OD_42_new	EFM4s_4	0.01494	0.99796	0.914	133.4
Efm_OD_42_new	EFM4s_5	0.01509	0.99847	0.877	134.6
Efm_OD_42_new	EFM4s_6	0.01513	0.99852	0.910	132.7
Efm_OD_42_new	EFM4s_7	0.01511	0.99805	0.924	128.4
Efm_OD_42_new	EFM4s_8	0.01535	0.99802	0.938	127.2
Efm_OD_42_new	EFM4s_9	0.01582	0.99919	0.924	130.3
Efm_OD_42_new	EFM4s_10	0.01512	0.99843	0.945	123.0
Efm_OD_42_new	EFM4s_11	0.01521	0.99851	0.938	123.0
